company,location,certification,datacenter
Khazna Data Centers Limited,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Khazna Data Centers Limited
Khazna Data Centers Limited,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Khazna Data Centers Limited
Khazna Data Centers Limited,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Khazna Data Centers Limited
Khazna Data Centers Limited,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Khazna Data Centers Limited
Khazna Data Centers Limited,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Khazna Data Centers Limited
Khazna Data Centers Limited,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Khazna Data Centers Limited
Khazzan Information Technology Company,"Dammam, Saudi Arabia",Tier III Certification of Design Documents,Khazzan Information Technology Company
King Faisal Specialist Hospital and Research Centre (KFSH&RC),"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,King Faisal Specialist Hospital and Research Centre (KFSH&RC)
King Faisal Specialist Hospital and Research Centre (KFSH&RC),"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,King Faisal Specialist Hospital and Research Centre (KFSH&RC)
King Faisal University,"Hofuf Al-Ahsa , Saudi Arabia",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,King Faisal University
King Khalid University,"Abha, Saudi Arabia",Tier III Certification of Design Documents,King Khalid University
"Ministry of Environment, Water & Agriculture","Riyadh, Saudi Arabia",Tier II Certification of Design Documents,"Ministry of Environment, Water & Agriculture"
Kingsland Data Center Pte Ltd,Singapore,Tier III Certification of Design Documents,Kingsland Data Center Pte Ltd
KIO Networks,"Panama, Panama",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,KIO Networks
KIO Networks,"Tultitlán, Mexico",Tier III Certification of Design Documents,KIO Networks
KIO Networks,"Santo Domingo​ Santo Domingo Este, Dominican Republic",Tier IV Certification of Design Documents,KIO Networks
KIO Networks,"Guatemala City, Guatemala",Tier IV Certification of Design Documents,KIO Networks
KIO Networks,"Tultitlán, Mexico",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,KIO Networks
KIO Networks,"Queretaro, Mexico",Tier IV Certification of Design Documents,KIO Networks
KIO Networks,"Murcia, Spain",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,KIO Networks
KKB Kredi Kayıt Bürosu A.Ş.,"Ankara, Turkey",Tier IV Certification of Design Documents,KKB Kredi Kayıt Bürosu A.Ş.
KKB Kredi Kayıt Bürosu A.Ş.,"Ankara, Turkey",Tier IV Certification of Constructed Facility,KKB Kredi Kayıt Bürosu A.Ş.
Kolotek,"Boucherville Quebec, Canada",Tier III Certification of Design Documents,Kolotek
Konza Technopolis Development Authority (KoTDA),"Konza Technopolis, Kenya",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,Konza Technopolis Development Authority (KoTDA)
Korean Federation of Community Credit Cooperatives (KFCC),"Seoul, Korea, South",Tier III Certification of Design Documents,Korean Federation of Community Credit Cooperatives (KFCC)
KPN,"Amsterdam Noord Holland, Netherlands",Tier III Certification of Design Documents,KPN
KPN,"Eindhoven Noord Brabant, Netherlands",Tier IV Certification of Design Documents,KPN
KPN,"Eindhoven Noord Brabant, Netherlands",Tier IV Certification of Constructed Facility,KPN
"KTB Computer Services Co., Ltd","Bang Bua Thong Nonthaburi, Thailand",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"KTB Computer Services Co., Ltd"
Kuwait Finance House,"West Abu Fatiyra Mubarak Alkabeer, Kuwait",Tier III Certification of Design DocumentsTier III Gold Certification of Operational Sustainability,Kuwait Finance House
Kuwait Finance House,"West Abu Fatiyra Mubarak Alkabeer, Kuwait",Tier III Certification of Constructed Facility,Kuwait Finance House
Kuwait National Guard,"Kuwait City, Kuwait",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Kuwait National Guard
Kuwait National Guard,"Kuwait City, Kuwait",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Kuwait National Guard
Kuwait National Guard,"Rigai, Kuwait",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility - Provisional,Kuwait National Guard
L&T Construction,"Chennai Tamil Nadu, India",Tier IV Certification of Design Documents,L&T Construction
Lamda Hellix,"Athens, Greece",Tier III Certification of Design Documents,Lamda Hellix
Lamda Hellix,"Athens, Greece",Tier III Certification of Constructed Facility,Lamda Hellix
Landmark Dividend,"Phoenix Arizona, United States",M&O Stamp Of Approval,Landmark Dividend
Landmark Dividend,"Phoenix Arizona, United States",M&O Stamp Of Approval,Landmark Dividend
Landmark Dividend,"Phoenix Arizona, United States",M&O Stamp Of Approval,Landmark Dividend
Larsen & Toubro Limited,"Mumbai, India",Tier III Certification of Design Documents,Larsen & Toubro Limited
Lattelecom Ltd.,"Riga, Latvia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Lattelecom Ltd.
LCL nv,"Aalst, Belgium",Tier III Certification of Design Documents,LCL nv
LCL nv,"Aalst, Belgium",Tier III Certification of Constructed Facility,LCL nv
Lefdal Mine Datacenter AS,"Kjølsdalen, Norway",Tier III Certification of Design Documents,Lefdal Mine Datacenter AS
Legal Advice and Legislation,"Kuwait City, Kuwait",Tier III Certification of Design Documents,Legal Advice and Legislation
Lekhwiya,"Doha, Qatar",Tier III Certification of Design Documents,Lekhwiya
Lenovo,"Beijing, China",M&O Stamp Of Approval,Lenovo
Leonardo S.p.A,"Pomigliano d'Arco Napoli, Italy",Tier IV Certification of Design Documents,Leonardo S.p.A
Leonardo S.p.A,"Genova, Italy",Tier IV Certification of Design Documents,Leonardo S.p.A
Level 3 Brasil Sao Paulo,"Cotia Sao Paulo, Brazil",Tier III Certification of Design Documents,Level 3 Brasil Sao Paulo
LG Uplus Corp,"Anyang-Si Gyeonggi-Do, Korea, South",Tier III Certification of Design Documents,LG Uplus Corp
LinkedIn Corporation,"Hillsboro Oregon, United States",Efficient IT Activated,LinkedIn Corporation
LinkedIn Corporation,"Portland Oregon, United States",Efficient IT Stamp Of Approval,LinkedIn Corporation
LinkedIn Corporation,"Ashburn Virginia , United States",Efficient IT Stamp Of Approval,LinkedIn Corporation
LinkedIn Corporation,"Richardson Texas, United States",Efficient IT Stamp Of Approval,LinkedIn Corporation
Liquid Telecom Group,"Nairobi, Kenya",Tier III Certification of Design Documents,Liquid Telecom Group
beCloud,"Minsk, Belarus",Tier III Certification of Design Documents,beCloud
beCloud,"Minsk, Belarus",Tier III Certification of Constructed Facility,beCloud
"LLC ""Sviaz VSD""","St. Petersburg, Russia",M&O Stamp Of Approval,"LLC ""Sviaz VSD"""
LLC Yandex,"Vladimir, Russia",M&O Stamp Of Approval,LLC Yandex
LLC “Inforesource St-Petersburg”,"Saint-Petersburg, Russia",Tier III Certification of Design Documents,LLC “Inforesource St-Petersburg”
Loblaw Companies Limited,"Brampton Ontario, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Loblaw Companies Limited
LuxConnect,"Bettembourg, Luxembourg",Tier IV Certification of Design Documents,LuxConnect
LuxConnect,"Bissen, Luxembourg",Tier II Certification of Design Documents,LuxConnect
LuxConnect,"Bissen, Luxembourg",Tier IV Certification of Design Documents,LuxConnect
LuxConnect,"Bettembourg, Luxembourg",Tier III Certification of Design Documents,LuxConnect
LuxConnect,"Bettembourg, Luxembourg",Tier III Certification of Constructed Facility,LuxConnect
LuxConnect,"Bettembourg, Luxembourg",Tier IV Certification of Constructed Facility,LuxConnect
LuxConnect,"Bettembourg, Luxembourg",Tier IV Certification of Design Documents,LuxConnect
LuxConnect,"Bettembourg, Luxembourg",Tier II Certification of Design Documents,LuxConnect
LuxConnect,"Bettembourg, Luxembourg",Tier II Certification of Constructed Facility,LuxConnect
Macquarie Data Centres Pty Ltd,"Macquarie Park, Australia",Tier III Certification of Design Documents,Macquarie Data Centres Pty Ltd
Macquarie Data Centres Pty Ltd,"Macquarie Park, Australia",Tier III Certification of Constructed Facility,Macquarie Data Centres Pty Ltd
Macquarie Telecom,"Sydney, Australia",Tier III Certification of Design Documents,Macquarie Telecom
"Mahanagar Telephone Nigam Limited, Mumbai","Mumbai, India",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Mahanagar Telephone Nigam Limited, Mumbai"
"Mahanagar Telephone Nigam Limited, Mumbai","Mumbai, India",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,"Mahanagar Telephone Nigam Limited, Mumbai"
MainData Ghana Limited,"Appolonia City, Ghana",Tier III Certification of Design Documents,MainData Ghana Limited
MainOne,"Lekki Lagos, Nigeria",Tier III Certification of Design Documents,MainOne
MainOne,"Lekki Lagos, Nigeria",Tier III Certification of Constructed Facility,MainOne
Malaysian Communications & Multimedia Commission,"Cyberjaya Selangor, Malaysia",Tier III Certification of Design Documents,Malaysian Communications & Multimedia Commission
Malaysian Communications & Multimedia Commission,"Cyberjaya Selangor, Malaysia",Tier III Certification of Constructed Facility,Malaysian Communications & Multimedia Commission
Mannai,"Doha, Qatar",Tier III Certification of Design Documents,Mannai
Mannai,"Doha, Qatar",Tier III Certification of Constructed Facility,Mannai
Manufacturing Corporation,"Jakarta, Indonesia",Tier III Certification of Design Documents,Manufacturing Corporation
Manufacturing Corporation,"Jakarta, Indonesia",Tier III Certification of Design Documents,Manufacturing Corporation
MAPFRE,"Madrid, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,MAPFRE
Marafiq Power and Water Utility Company for Jubail and Yanbu,"Jubail Industrial City, Saudi Arabia",Tier III Certification of Design Documents,Marafiq Power and Water Utility Company for Jubail and Yanbu
Maroc Telecom,"Casablanca, Morocco",Tier III Certification of Design Documents,Maroc Telecom
MAROCLEAR,"Casablanca, Morocco",Tier III Certification of Design Documents,MAROCLEAR
Matrix Data Center,"Sao Paulo, Brazil",Tier III Certification of Design Documents,Matrix Data Center
Mauritius Telecom Limited,"Rose Belle, Mauritius",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Mauritius Telecom Limited
"MCIS, Inc.","Marshfield Wisconsin, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"MCIS, Inc."
McKesson Corporation,"Rancho Cordova California, United States",Efficient IT ActivatedEfficient IT Stamp Of Approval,McKesson Corporation
MedAfrica Systems (Medasys),"Temara, Morocco",Tier III Certification of Design Documents,MedAfrica Systems (Medasys)
Mediapro,"Barcelona, Spain",Tier III Certification of Design Documents,Mediapro
MEEZA,"Doha, Qatar",Tier IV Certification of Design Documents,MEEZA
MEEZA,"Doha, Qatar",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,MEEZA
MEEZA,"Doha, Qatar",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,MEEZA
Megacable,"Jalisco, Mexico",Tier III Certification of Design Documents,Megacable
MegaFon,"Samara, Russia",Tier III Certification of Design Documents,MegaFon
"Metro Net, SAPI de CV","Huixquilucan, Mexico",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Metro Net, SAPI de CV"
Metronode Pty Limited,"Melbourne, Australia",Tier III Certification of Design Documents,Metronode Pty Limited
Metronode Pty Limited,"Melbourne, Australia",Tier III Certification of Constructed Facility,Metronode Pty Limited
Metronode Pty Limited,"Perth, Australia",Tier III Certification of Constructed Facility,Metronode Pty Limited
Metronode Pty Limited,"Canberra Australian Capital Territory, Australia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Metronode Pty Limited
Metronode Pty Limited,"Shenton Park, Perth Western Australia, Australia",Tier III Certification of Constructed Facility,Metronode Pty Limited
Mi - Oz Limited,"Emek Hefer Industrial Park, Israel",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Mi - Oz Limited
Micron 21 Pty Ltd,"Kilsyth Victoria, Australia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Micron 21 Pty Ltd
Millicom International Cellular,"Asuncion, Paraguay",Tier III Certification of Design Documents,Millicom International Cellular
Millicom International Cellular,"Asuncion, Paraguay",Tier III Certification of Constructed Facility,Millicom International Cellular
Millicom International Cellular,"Dakar, Senegal",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Millicom International Cellular
Millicom International Cellular,"Dar es salaam, Tanzania, United Republic of",Tier III Certification of Design Documents,Millicom International Cellular
Ministerio de Haciendade Costa Rica,"Goicoechea San Jose, Costa Rica",Tier IV Certification of Design Documents,Ministerio de Haciendade Costa Rica
Ministry of Communications and Information Technology (MCIT),"Giza, Egypt",Tier III Certification of Design Documents,Ministry of Communications and Information Technology (MCIT)
Ministry of Education,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Ministry of Education
Ministry of Foreign Affairs,"Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Ministry of Foreign Affairs
"Ministry of Home Affairs of the Government, Republic of Zambia","Lusaka, Zambia",Tier III Certification of Design Documents,"Ministry of Home Affairs of the Government, Republic of Zambia"
Ministry of Interior,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Ministry of Interior
Ministry of Interior,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Ministry of Interior
Ministry of Interior,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Ministry of Interior
Ministry of Interior - NIC,"Riyadh Ar-Riyadh, Saudi Arabia",Tier II Certification of Design Documents,Ministry of Interior - NIC
Ministry of National Development Planning/National Development Planning Agency – Republic of Indonesia,"South Jakarta, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Ministry of National Development Planning/National Development Planning Agency – Republic of Indonesia
Ministry of National Guard,"Riyadh, Saudi Arabia",Tier IV Certification of Design Documents,Ministry of National Guard
Ministry of the Interior of the Czech Republic,"Prague, Czech Republic",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Ministry of the Interior of the Czech Republic
Mobile Telephone Networks (MTN),"Centurion, South Africa",Tier III Certification of Constructed Facility,Mobile Telephone Networks (MTN)
Mobile Telephone Networks (MTN),"Centurion, South Africa",Tier III Certification of Design Documents,Mobile Telephone Networks (MTN)
Mobile TeleSystems PJSC,"Novosibirsk, Russia",Tier III Certification of Design Documents,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Novosibirsk, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Novosibirsk, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Nizhny Novgorod, Russia",Tier III Certification of Design Documents,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Nizhny Novgorod, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Nizhny Novgorod, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Nizhny Novgorod, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Nizhny Novgorod, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Fedorovskoye Gorodskoye Poseleniye, Russia",Tier III Certification of Design Documents,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Fedorovskoye Gorodskoye Poseleniye, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mobile TeleSystems PJSC,"Fedorovskoye Gorodskoye Poseleniye, Russia",Tier III Certification of Constructed Facility,Mobile TeleSystems PJSC
Mordovia Republic,"Saransk Mordovia Republic, Russia",Tier IV Certification of Design Documents,Mordovia Republic
Morgan Stanley,"London, United Kingdom",M&O Stamp Of Approval,Morgan Stanley
Morgan Stanley,"London, United Kingdom",M&O Stamp Of Approval,Morgan Stanley
Morgan Stanley,"Somerset New Jersey, United States",M&O Stamp Of Approval,Morgan Stanley
Morgan Stanley,"Ashburn Virginia , United States",M&O Stamp Of Approval,Morgan Stanley
Morgan Stanley,"Piscataway New Jersey, United States",M&O Stamp Of Approval,Morgan Stanley
Morgan Stanley,"Alpharetta Georgia, United States",M&O Stamp Of Approval,Morgan Stanley
Morgan Stanley Asia Limited,Hong Kong,M&O Stamp Of Approval,Morgan Stanley Asia Limited
Moro,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,Moro
Moro Data Hub,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,Moro Data Hub
Moro Data Hub,"Dubai, United Arab Emirates",Tier III Certification of Constructed Facility,Moro Data Hub
Moro Data Hub,"Dubai, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Moro Data Hub
Moroccan Ministry of Economy and Finance,"Rabat, Morocco",Tier III Certification of Design Documents,Moroccan Ministry of Economy and Finance
MOTC,"Al Wakrah Municipality, Qatar",Tier III Certification of Design Documents,MOTC
MPTEN / ANIEN Conakry,"Conakry, Guinea",Tier III Certification of Design Documents,MPTEN / ANIEN Conakry
MTI S.A.,"Montevideo Departamento de Montevideo, Uruguay",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,MTI S.A.
MTN Cyprus LTD,"Nicosia Strovolos, Cyprus",Tier III Certification of Design Documents,MTN Cyprus LTD
MTN Nigeria Communications Ltd,"Ojota Lagos, Nigeria",Tier III Certification of Design Documents,MTN Nigeria Communications Ltd
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTN SA (PTY) LTD,"Gauteng, South Africa",M&O Stamp Of Approval,MTN SA (PTY) LTD
MTS Data Centres Inc.,"Winnipeg Manitoba, Canada",Tier III Certification of Design Documents,MTS Data Centres Inc.
"Mutual Cartago de Ahorro y Prestamo, Mucap","Cartago, Costa Rica",Tier II Certification of Design Documents,"Mutual Cartago de Ahorro y Prestamo, Mucap"
Mwani Qatar,"Hamad Port, Qatar",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Mwani Qatar
Mwani Qatar,"Messaieed, Qatar",Tier II Certification of Design DocumentsTier II Certification of Constructed Facility,Mwani Qatar
Myanmar Information and Communication Technology Development Corporation Public Company Limited,"Yangon, Myanmar",Tier III Certification of Design Documents,Myanmar Information and Communication Technology Development Corporation Public Company Limited
Myint & Associates Telecommunications Limited,"Yangon, Myanmar",Tier III Certification of Design Documents,Myint & Associates Telecommunications Limited
MYTelehaus,"Cyberjaya Selangor Darul Ehsan, Malaysia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,MYTelehaus
Mærsk Olie og Gas A/S (Total S.A.),"Esbjerg, Denmark",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Mærsk Olie og Gas A/S (Total S.A.)
Nabiax,"Alcalá de Henares, Spain",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Nabiax
Nabiax,"Santiago, Chile",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Nabiax
Nabiax Mexico,"Ixtlahuaca del Rayon, Mexico",Tier III Certification of Design Documents,Nabiax Mexico
Nabiax Mexico,"Ixtlahuaca del Rayon, Mexico",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Nabiax Mexico
Nabiax Peru,"Lima, Peru",Tier III Certification of Design Documents,Nabiax Peru
Najm Company,"Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Najm Company
Najran University,"Najran Najran, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Najran University
"Nanjing Guangxin Energy Service Co., Ltd.","Nanjing, China",Tier III Certification of Design Documents,"Nanjing Guangxin Energy Service Co., Ltd."
National Bank of Kazakhstan,"Astana, Kazakhstan",Tier III Certification of Design Documents,National Bank of Kazakhstan
National Bank of Kuwait,"Kuwait Farwaniya, Kuwait",Tier III Certification of Design Documents,National Bank of Kuwait
National Bank of Kuwait,"Kuwait Farwaniya, Kuwait",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,National Bank of Kuwait
National Bank of Kuwait - Egypt Plc.,"Cairo, Egypt",Tier III Certification of Design Documents,National Bank of Kuwait - Egypt Plc.
National Bank of the Kyrgyz Republic (NBKR),"Bishkek, Kyrgyzstan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,National Bank of the Kyrgyz Republic (NBKR)
National Center for Security Operations,"Riyadh, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,National Center for Security Operations
National Center for Security Operations,"Riyadh, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,National Center for Security Operations
National Center for Security Operations,"Dammam, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,National Center for Security Operations
National Center for Security Operations,"Dammam, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,National Center for Security Operations
National Center for Security Operations,"Madinah, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,National Center for Security Operations
National Center for Security Operations,"Madinah, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,National Center for Security Operations
National Commercial Bank,"Jeddah, Saudi Arabia",Tier III Certification of Design Documents,National Commercial Bank
National Commercial Bank,"Jeddah, Saudi Arabia",Tier II Certification of Design Documents,National Commercial Bank
National Commercial Bank (Jamaica),"Mandeville, Jamaica",Tier II Certification of Constructed FacilityTier II Certification of Design Documents,National Commercial Bank (Jamaica)
National Cybersecurity Authority,"Riyadh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,National Cybersecurity Authority
National Database & Registration Authority (NADRA),"Islamabad, Pakistan",Tier III Certification of Design Documents,National Database & Registration Authority (NADRA)
National Government Services,"Shelbyville Kentucky, United States",Tier III Certification of Design Documents,National Government Services
National Information Center,"Jeddah, Saudi Arabia",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,National Information Center
National Information Center,"Jazan, Saudi Arabia",Tier III Certification of Design Documents,National Information Center
National Information Technology Agency (NITA),"Kumasi, Ghana",Tier II Certification of Design Documents,National Information Technology Agency (NITA)
National Payment Corporation of India,"Hyderabad, India",Tier IV Certification of Design Documents,National Payment Corporation of India
National Payment Corporation of India,"Chennai, India",Tier IV Certification of Design Documents,National Payment Corporation of India
National Police Service (NPS),"Nairobi, Kenya",Tier III Certification of Design Documents,National Police Service (NPS)
National Savings Bank,"Colombo, Sri Lanka",Tier III Certification of Design Documents,National Savings Bank
National Telecommunication Corporation,"Lahore, Pakistan",Tier III Certification of Design Documents,National Telecommunication Corporation
National Water Company,"Riyadh, Saudi Arabia",M&O Stamp Of ApprovalTier II Certification of Design Documents,National Water Company
Nationwide Building Society,"Newbury, United Kingdom",M&O Stamp Of Approval,Nationwide Building Society
Nationwide Building Society,"Swindon, United Kingdom",M&O Stamp Of Approval,Nationwide Building Society
Nationwide Mutual Insurance Co.,"New Albany Ohio, United States",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Nationwide Mutual Insurance Co.
Neoenergia,"Salvador, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Neoenergia
NEOM Advanced Data Centres Company,"Al Khuraybah, Neom, Saudi Arabia",Tier III Certification of Design Documents,NEOM Advanced Data Centres Company
"Neusoft Cloud Technology Co., Ltd","Dalian, China",M&O Stamp Of Approval,"Neusoft Cloud Technology Co., Ltd"
New China Life Insurance Company Ltd.,"Beijing, China",M&O Stamp Of Approval,New China Life Insurance Company Ltd.
NEXTDC Limited,"Sydney, Australia",Tier IV Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"Sydney, Australia",Tier IV Certification of Constructed Facility - Provisional,NEXTDC Limited
NEXTDC Limited,"Perth, Australia",Tier IV Certification of Constructed Facility - Provisional,NEXTDC Limited
NEXTDC Limited,"Perth, Australia",Tier IV Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"Artarmon, Australia",Tier IV Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"Artarmon, Australia",Tier IV Certification of Constructed Facility,NEXTDC Limited
NEXTDC Limited,"Canberra, Australia",Tier III Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"West Footscray Victoria, Australia",Tier IV Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"West Footscray Victoria, Australia",Tier IV Certification of Constructed Facility,NEXTDC Limited
NEXTDC Limited,"Sydney, Australia",Tier III Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"Sydney, Australia",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,NEXTDC Limited
NEXTDC Limited,"Melbourne Victoria, Australia",Tier III Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"Perth, Australia",Tier III Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"Perth, Australia",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,NEXTDC Limited
NEXTDC Limited,"Brisbane Queensland, Australia",Tier IV Certification of Design DocumentsTier IV Gold Certification of Operational Sustainability,NEXTDC Limited
NEXTDC Limited,"Brisbane Queensland, Australia",Tier IV Certification of Constructed Facility,NEXTDC Limited
NEXTDC Limited,"Melbourne Victoria, Australia",Tier IV Certification of Design Documents,NEXTDC Limited
NEXTDC Limited,"Melbourne Victoria, Australia",Tier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,NEXTDC Limited
Ngoya Etix DC (Ghana) Ltd.,"Accra, Ghana",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Ngoya Etix DC (Ghana) Ltd.
NH Bank,"Euiwang-si Gyeonggi-do, Korea, South",Tier III Certification of Design Documents,NH Bank
NNIT A/S,"Bagsværd, Denmark",Tier III Gold Certification of Operational SustainabilityTier III Certification of Design DocumentsTier III Certification of Constructed Facility,NNIT A/S
NNIT A/S,"Glostrup, Denmark",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,NNIT A/S
Nomura,"London, United Kingdom",M&O Stamp Of Approval,Nomura
"Nomura Research Institute, Ltd.","Tama, Japan",M&O Stamp Of Approval,"Nomura Research Institute, Ltd."
"Nomura Research Institute, Ltd.","Yokohoma, Japan",M&O Stamp Of Approval,"Nomura Research Institute, Ltd."
"Nomura Research Institute, Ltd.","Osaka, Japan",M&O Stamp Of Approval,"Nomura Research Institute, Ltd."
Noovle S.p.A.,"Cassina de’ Pecchi, Italy",Tier IV Certification of Design Documents,Noovle S.p.A.
Noovle S.p.A.,"Santo Stefano Ticino, Italy",Tier IV Certification of Design Documents,Noovle S.p.A.
Noovle S.p.A.,"Rozzano Milan, Italy",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Noovle S.p.A.
Nordea Bank AB,"Copenhagen Denmark, Denmark",Tier III Certification of Design Documents,Nordea Bank AB
Nordea Bank AB,"Taastrup, Denmark",M&O Stamp Of Approval,Nordea Bank AB
North Caspian Operating Company N.V.,"Atyrau, Kazakhstan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,North Caspian Operating Company N.V.
