company,location,certification,datacenter
Ascenty Data Centers Locação E Serviço LTDA,"Hortolândia, Brazil",Tier III Certification of Design Documents,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Hortolândia, Brazil",Tier III Certification of Constructed Facility,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Osasco Sao Paulo, Brazil",Tier III Certification of Constructed Facility,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Osasco Sao Paulo, Brazil",Tier III Certification of Design Documents,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Osasco Sao Paulo, Brazil",Tier III Certification of Design Documents,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Osasco Sao Paulo, Brazil",Tier III Certification of Constructed Facility,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Sumare Sao Paulo, Brazil",Tier III Certification of Design Documents,Ascenty Data Centers Locação E Serviço LTDA
Ascenty Data Centers Locação E Serviço LTDA,"Sumare Sao Paulo, Brazil",Tier III Certification of Constructed Facility,Ascenty Data Centers Locação E Serviço LTDA
Asco TLC Spa,"Santa Lucia Treviso, Italy",Tier III Certification of Design Documents,Asco TLC Spa
Asco TLC Spa,"Santa Lucia Treviso, Italy",Tier III Certification of Constructed Facility,Asco TLC Spa
Asiacell Communications PJSC,"Baghdad, Iraq",Tier III Certification of Design Documents,Asiacell Communications PJSC
Asiacell Communications PJSC,"Baghdad, Iraq",Tier III Certification of Design Documents,Asiacell Communications PJSC
Asiacell Communications PJSC,"Erbil, Iraq",Tier III Certification of Design Documents,Asiacell Communications PJSC
Asiacell Communications PJSC,"Sulaymaniyah, Iraq",Tier III Certification of Design Documents,Asiacell Communications PJSC
ASTRA Group,"Riyadh Riyadh, Saudi Arabia",Tier III Certification of Design Documents,ASTRA Group
"AT&T Services, Inc.","Southfield Michigan, United States",M&O Stamp Of Approval,"AT&T Services, Inc."
"AT&T Services, Inc.","West Sacramento California, United States",M&O Stamp Of Approval,"AT&T Services, Inc."
"AT&T Services, Inc.","Lynwood Washington, United States",M&O Stamp Of Approval,"AT&T Services, Inc."
"AT&T Services, Inc.","Kansas City Missouri, United States",M&O Stamp Of Approval,"AT&T Services, Inc."
ATC Holding Fibra México S. de R.L. de C.V.,"Monterrey, Mexico",Tier III Certification of Design Documents,ATC Holding Fibra México S. de R.L. de C.V.
ATC Holding Fibra México S. de R.L. de C.V.,"Ciudad de México, Mexico",Tier III Certification of Design Documents,ATC Holding Fibra México S. de R.L. de C.V.
Ativas Data Center,"Belo Horizonte Minas Gerais, Brazil",Tier III Certification of Design Documents,Ativas Data Center
Atos,"Arlington Texas, United States",Tier III Certification of Design Documents,Atos
Attica Bank S.A,"Peristeri Attica, Greece",Tier III Certification of Design Documents,Attica Bank S.A
Auditoría Superior del Estado de Puebla,"Puebla, Mexico",Tier II Certification of Design Documents,Auditoría Superior del Estado de Puebla
Australian Data Centres Pty Ltd,"Canberra ACT, Australia",Tier III Certification of Design Documents,Australian Data Centres Pty Ltd
Autorité de Régulation des Postes Et Télécommunications (ARPT) Guinea,"Conakry, Guinea",Tier III Certification of Design Documents,Autorité de Régulation des Postes Et Télécommunications (ARPT) Guinea
Autoriti Monetari Brunei Darussalam,"Negara Brunei Darussalam, Brunei",Tier III Certification of Design Documents,Autoriti Monetari Brunei Darussalam
Axtel / Avantel Infraestructura,"Apodaca, Mexico",Tier III Certification of Design Documents,Axtel / Avantel Infraestructura
Axtel / Avantel Infraestructura,"Tultitlan, Mexico",Tier III Certification of Constructed Facility,Axtel / Avantel Infraestructura
AzInTelecom,"Baku, Azerbaijan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,AzInTelecom
AzInTelecom,"Yevlakh , Azerbaijan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,AzInTelecom
AzInTelecom,"Baku, Azerbaijan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,AzInTelecom
Babylone,"Peltre, France",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Babylone
BAC-Credomatic,"Tegucigalpa, Honduras",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,BAC-Credomatic
